type,keyword,sole keyword pattern,مثال,مشابهات
temperature,نقطه‌ی ذوب,1,نقطه‌ی ذوب|انجماد|جوش این مایع پایین است.,
temperature,نقطه‌‌ی انجماد,1,,
temperature,نقطه‌ی جوش,1,,
temperature,خنک,0,خنک بنوشید. :)),
temperature,خنکا,1,خنکی نوشابه سر حالش آورد.,
force,خنکی,1,,
force,نیرو,1,,
force,نیروی,1,,
force,کشش,1,[نیروی] کشش نخ را حساب کنید.,
force,هل,1,با قدرت هلش داد.,
force,نیروی گرانشی,1,,
force,نیروی اصطکاک,1,,
force,نیروی عمود بر سطح,1,,
force,نیروی مقاومت هوا,1,,
force,نیروی الکترومغناطیسی,1,,
force,نیروی کشسانی,1,,
force,نیروی الکتریکی,1,,
force,کشید,1,با قدرت آن را کشید.,
torque,گشتاور,1,,
torque,تعادل,1,شرایط تعادل گشتاوری برقرار است. | تعادل چرخشی برقرار است.,
torque,ساعتگرد,0,,
torque,پادساعتگرد,0,,
torque,تکانه‌ی زاویه‌ای,1,معادل گشتاور زاویه ای,
torque,گشتاور پویا,1,,
torque,گشتاور داینامیک,1,,
torque,گشتاور ایستا,1,,
torque,گشتاور استاتیک,1,,
torque,نیروی چرخشی,1,معادل گشتاور نیرو,
torque,ممان نیرو,1,معادل گشتاور نیرو,
frequency,فرکانس,1,,
frequency,بسامد,1,,
frequency,فرکانس زاویه‌ای,1,,
frequency,فرکانس فضایی,1,,
frequency,فرکانس مکانی,1,,
frequency,فرکانس طبیعی,1,,
frequency,عکس دوره تناوب,1,,
frequency,[رویداد] در [واحد زمان],1,پنج بار در ثانیه,
frequency,نرخ نوسان,1,,
frequency,تعداد تناوب,1,,
frequency,ارتعاش در [واحد زمان],1,,
debi,دبی,1,,
debi,شارش جرمی,1,,
debi,دبی جرمی,1,,
debi,بده جرم,1,,
debi,آهنگ شارش جرم,1,,
debi,نرخ شارش جرم,1,,
data-transfer,انتقال داده,1,,
data-transfer,سرعت اینترنت,1,,
data-transfer,سرعت نت,1,,
data-transfer,سریع,0,,
data-transfer,کندی,1,,
data-transfer,کند,0,,
data-transfer,ضعیف,0,اینترنت ضعیفه.,
data-transfer,قوی,0,,
pressure,فشار,1,,
pressure,متراکم سازی,1,,
pressure,فشردگی,1,,
pressure,ضربه,1,,
pressure,ازدحام,1,,
area,مساحت,1,,
area,سطح,1,,
area,پهنه,1,,
area,گستردگی,1,,
area,گستره,1,,
area,پهنا,1,,
area,متراژ,1,,
energy,انرژی,1,,
energy,قدرت,1,,
energy,پرکاری,1,,
energy,کم کاری,1,,
time,زمان,1,,
time,دوران,1,,
time,روزگار,1,,
time,زمانه,1,,
time,دوره,1,,
time,عصر,1,,
time,عهد,1,,
time,فصل,1,,
time,موسم,1,,
time,نوبت,1,,
time,هنگام,1,,
time,فرصت,1,,
time,مجال,1,,
time,وقت,1,,
time,مدت,1,,
time,موعد,1,,
time,ساعت,1,,
time,دقیقه,1,,
time,ثانیه,1,,
time,دم,1,,
time,لحظه,1,,
time,موقع,1,,
time,مبدا زمان,1,,
degree,درجه,1,,
degree,زاویه,1,,
degree,کنج,1,,
degree,گوشه,1,,
degree,گرادیان,1,,
debi-v,شارش حجمی,1,,
debi-v,دبی حجمی,1,,
debi-v,آهنگ شارش حجمی,1,,
debi-v,نرخ شارش حجمی,1,,
wildcard,مقدار,,,
